Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2013-09-06,Prometheus,2012,https://boxd.it/1IwqR,4,Yes,,2013-05-10
2025-02-19,The Substance,2024,https://boxd.it/8SC1vZ,4.5,,,2025-01-26
